symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
TECHNOE,967.2,-2.18,-12.28,-10.87,2.68,-29.56,1.6,126,4.78,2.71,43.32,-24.63,55.4,83.0,1383.9,900.3,2026-07-31
RAYMONDLSL,731.7,2.6,-8.55,-7.72,3.71,-30.09,14.3,126,-10.97,-12.14,9.4,-26.43,14.5,83.0,1093.12,695.37,2026-07-31
STYLEBAAZA,264.55,-1.91,-16.4,-18.26,10.28,-36.55,5.6,126,9.81,10.72,43.49,-31.93,81.9,83.0,427.0,229.95,2026-07-31
WALCHANNAG,230.8,3.87,13.29,-0.31,75.31,-26.04,49.2,126,43.17,40.41,119.23,-21.51,91.6,83.0,315.8,131.15,2026-07-31
INDPRUD,6501.0,0.0,-0.67,-0.36,5.0,-6.46,41.5,65,,,,,,,7052.5,5750.5,2026-07-31
KSB,847.55,0.59,2.32,1.57,25.0,-14.83,54.0,126,14.34,14.21,45.51,-14.06,85.5,83.0,1023.25,671.73,2026-07-31
CYIENT,847.7,-2.28,-5.66,-4.32,12.6,-26.69,18.3,126,-7.62,-8.19,17.1,-29.55,28.9,83.0,1182.9,750.3,2026-07-31
MAXIND,170.25,-2.89,8.04,7.49,38.58,-7.95,91.2,125,4.65,5.85,32.19,-22.77,70.7,82.0,189.13,120.0,2026-07-31
TIINDIA,2688.8,-3.51,-3.88,-6.83,17.99,-18.72,31.7,126,16.14,17.15,37.19,-8.79,91.6,83.0,3335.2,2170.16,2026-07-31
SOMANYCERA,489.1,0.66,9.92,6.8,45.72,-9.3,60.0,125,23.7,22.76,50.79,-1.71,97.6,82.0,552.45,329.19,2026-07-31
DATAPATTNS,4462.0,0.57,22.96,12.78,77.2,-8.11,83.3,126,37.55,34.8,86.84,7.97,100.0,83.0,4945.12,2292.6,2026-07-31
EMUDHRA,456.55,0.47,-0.48,-1.43,22.37,-18.98,39.2,125,0.15,-3.11,19.54,-26.21,42.7,82.0,589.14,363.56,2026-07-31
PHOENIXLTD,1887.9,-1.18,6.69,6.96,27.79,-12.35,79.2,125,9.55,6.97,35.45,-19.22,80.5,82.0,2169.8,1465.6,2026-07-31
APARINDS,13745.0,-0.65,17.53,11.47,85.46,-17.52,74.6,126,39.76,33.69,75.3,11.47,100.0,83.0,17157.0,7045.0,2026-07-31
KIMS,807.0,1.13,12.75,12.42,36.09,-5.13,92.9,126,15.29,15.2,35.83,-4.13,98.8,83.0,858.0,578.6,2026-07-31
SIGNATURE,813.45,-0.75,-2.39,-0.81,13.9,-25.95,45.6,125,-6.45,-4.78,9.15,-30.9,31.7,82.0,1111.0,705.2,2026-07-31
DIAMONDYD,1125.2,-0.12,6.91,4.66,27.98,-8.15,74.4,125,5.58,8.72,26.16,-19.98,58.5,82.0,1228.9,858.9,2026-07-31
MAZDOCK,2319.1,0.49,-4.63,-4.92,12.29,-16.27,15.9,126,3.65,4.66,20.89,-16.68,68.7,83.0,2810.0,2057.4,2026-07-31
IIFL,607.85,2.14,23.69,23.64,44.95,2.14,100.0,126,0.76,2.16,35.4,-35.12,50.6,83.0,619.5,409.1,2026-07-31
FEDERALBNK,354.15,-1.39,19.25,21.82,39.24,-1.39,95.2,126,10.9,13.08,27.24,-3.64,79.5,83.0,359.9,253.3,2026-07-31
CIFL,21.01,2.99,-18.97,-18.15,4.79,-36.66,6.4,125,-13.81,-15.76,13.21,-29.2,12.2,82.0,34.08,19.56,2026-07-31
CORONA,2091.1,-0.77,23.4,24.91,45.02,-1.04,97.6,125,16.57,14.42,36.68,-0.15,98.8,82.0,2145.9,1364.83,2026-07-31
FINCABLES,973.0,-1.21,3.02,-1.77,36.89,-18.27,45.2,126,24.72,27.16,51.86,-3.12,95.2,83.0,1203.9,700.8,2026-07-31
TNPETRO,97.97,4.09,8.67,8.01,22.62,-1.18,97.6,126,1.54,0.68,19.44,-19.85,53.0,83.0,102.99,78.67,2026-07-31
NIVABUPA,85.92,0.21,8.37,7.63,25.61,-2.76,84.0,125,10.01,10.08,26.9,-7.63,86.6,82.0,89.77,67.5,2026-07-31
AVTNPL,70.42,0.63,6.04,3.53,29.83,-3.92,82.4,125,8.8,6.08,31.19,-10.27,82.9,82.0,78.0,53.5,2026-07-31
APLLTD,802.75,-1.13,8.0,6.82,26.01,-4.16,86.5,126,4.62,3.5,27.4,-21.68,63.9,83.0,842.86,626.48,2026-07-31
BOROSCI,155.41,-1.1,24.0,31.76,53.92,-10.44,83.3,126,28.38,35.3,68.24,-6.65,88.0,83.0,180.8,96.64,2026-07-31
TEXINFRA,114.74,-0.13,15.21,16.86,36.63,-1.13,97.6,125,8.61,7.73,23.63,-3.49,92.7,82.0,118.0,82.5,2026-07-31
SUNFLAG,357.8,-0.45,23.57,15.88,84.34,-13.96,76.2,126,40.36,45.88,75.66,-15.82,92.8,83.0,428.0,192.15,2026-07-31
IREDA,119.88,-0.78,-3.78,-4.91,10.59,-14.65,20.6,126,1.77,3.26,19.03,-19.63,66.3,83.0,142.85,108.08,2026-07-31
CHOICEIN,798.7,-0.17,12.62,12.88,36.78,-4.35,88.0,125,0.75,-3.92,26.12,-23.95,43.9,82.0,846.0,568.7,2026-07-31
JMFINANCIL,121.35,-1.55,-4.27,-3.9,8.45,-15.17,23.0,126,0.27,-0.96,18.82,-17.34,45.8,83.0,144.97,110.31,2026-07-31
